==============================================================================================================
LINKEDIN COMPANY POSTS - COMPETITIVE SNAPSHOT
Captured: 2026-09-09 (Europe/Copenhagen) | Source: LinkedIn company 'Posts' tab, view = All
Up to 50 most recent posts per company (fewer where the page had fewer).

Columns:  #  |  AGE (relative, as LinkedIn showed it)  |  TYPE  |  REACTIONS  |  COMMENTS  |  REPOSTS  |  TITLE
TITLE = opening line of the post copy, truncated (LinkedIn posts have no formal title field).
TYPE   = Image, Multi-image, Carousel (PDF/document swipe), Video, Poll, Event, Link/Article, Text, Repost
==============================================================================================================

SUMMARY - ENGAGEMENT ACROSS CAPTURED POSTS
--------------------------------------------------------------------------------------------------------------
COMPANY                                     POSTS  REACTIONS  COMMENTS  REPOSTS  AVG/POST
Stripe                                         50      19127      1445     1318     437.8
Incedo Inc                                     50       4679       128      103      98.2
Continia Software A/S                          50       3562        91      124      75.5
Yavrio                                         50       3073       315       65      69.1
SignUp Software                                50       2301        60      312      53.5
Stampli                                        50       1388        46      382      36.3
Truvio                                         50       1350        34      162      30.9
Medius                                         50       1370        31      136      30.7
Rillion                                        50       1300       138       95      30.7
Tipalti                                        50       1301        52       50      28.1
Qvalia                                         15        313        15       38      24.4
Dooap                                          50       1015        72       89      23.5
AMC Banking                                    22        287        12       16      14.3
B2Brouter                                      50        425        37       79      10.8
Equisys (Zetadocs)                             39        168         1       85       6.5
Fidesic                                        50        253        32       21       6.1
--------------------------------------------------------------------------------------------------------------


==============================================================================================================
POST-BY-POST DETAIL
==============================================================================================================

--------------------------------------------------------------------------------------------------------------
TRUVIO
https://www.linkedin.com/company/truvio-official/
Posts captured: 50   |   Total reactions: 1350   Comments: 34   Reposts: 162   |   Avg engagement/post: 30.9
 29  3w    Link/Article      5     0     0  Electronic invoicing is accelerating across Europe, and B2Brouter is growing with...
 30  1mo   Carousel          2     0     1  La factura electrónica no va solo de enviar una factura en formato digital. Con la...
 31  1mo   Poll              2     0     2  2026 e-invoicing reality check: is your business ready? Across Europe, APAC and...
 32  2mo   Carousel          9     1     0  La solución pública de facturación electrónica de la AEAT será una pieza...
 33  2mo   Carousel          4     0     0  Empfangen ist nicht gleich Verarbeiten. Genau darüber haben wir vor zwei Wochen eine...
 34  4w    Link/Article      4     0     0  El otro día Aleix Gasset se atrevió a explicarnos en un vídeo de dos minutos qué es...
 35  2mo   Carousel          6     0     2  Vous facturez déjà des administrations, hôpitaux, collectivités ou organismes...
 36  2mo   Image            47     3     8  ERP & E-Invoicing Integration Partners - Monthly Ranking Status | July 2026. The...
 37  2mo   Carousel         10     2     1  ¿La factura electrónica es una herramienta para que Hacienda lo vea todo? Esta es...
 38  2mo   Carousel          5     0     1  Electronic invoicing is no longer just about tax compliance, it's about data...
 39  2mo   Link/Article      8     0     4  La réforme de la facturation électronique en France ne se limite pas à choisir une...
 40  2mo   Multi-image      15     0     2  A few days ago, B2Brouter attended Peppol Conference Europe 2026 in Brussels....
 41  2mo   Carousel         11     0     1  VeriFactu, Ley Crea y Crece, factura electrónica B2B... demasiados conceptos y una...
 42  2mo   Image             3     0     2  Capde - says it exactly right: France's e-invoicing reform is not just about sending...
 43  2mo   Carousel         10     0     1  Peppol is becoming one of the most reliable ways to exchange B2B invoices...
 44  2mo   Carousel          7     0     1  Plateformes SaaS juridiques en France : 2026 n'est pas seulement une échéance de...
 45  2mo   Carousel         11     2     1  Germany's B2B e-invoicing roadmap is already moving. German businesses must be...
 46  3mo   Carousel          8     0     1  ¿Crees que Ley Crea y Crece y VeriFactu son lo mismo? Spoiler: no. Confundirlas...
 47  3mo   Text              6     0     2  In 8 days, B2Brouter will be attending Peppol Conference Europe 2026 in Brussels....
 48  3mo   Carousel          5     0     3  Testing should not feel risky. With B2Brouter Sandbox, developers and technical...
 49  3mo   Carousel          5     1     2  Meet our Business Operations team. They are the people behind many of the areas...
 50  2mo   Link/Article      5     0     0  La factura electrónica obligatoria ya tiene marco regulatorio, pero todavía quedan...

--------------------------------------------------------------------------------------------------------------
DOOAP
https://www.linkedin.com/company/dooap/
Posts captured: 50   |   Total reactions: 1015   Comments: 72   Reposts: 89   |   Avg engagement/post: 23.5
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  4d    Image            12     2     1  We are hitting the road in a few weeks and headed to Dynamics User Group (DUG)...
  2  6d    Link/Article      9     0     1  Evaluating AP automation for Microsoft Dynamics 365 Finance? The shortlist gets...
  3  3w    Image             9     1     6  Dooap Studio has a new home: dooapstudio.ai. It's our agentic AI automation...
  4  1mo   Video            26     2     4  Sharing our story of Dooap Studio live from Dynamic Communities AI Business...
  5  3mo   Multi-image      70     4     0  Well, that's a wrap on DynamicsMinds. The Dooap team is heading back through time...
  6  3mo   Multi-image      57     1     2  With AP you have a lot of balls in the air at all times, let Dooap help you herd...
  7  4mo   Multi-image      24     1     3  We're heading to #DynamicsCon in Las Vegas next week! If you're attending, be sure...
  8  3mo   Image            14     0     1  Just think of the possibilities with Dooap Studio! Here's one for you.
  9  1mo   Image             9     1     1  We're sponsoring Dynamics User Group (DUG) DynamicsCon Regional: Ohio Valley on...
 10  2mo   Video            24     2     0  We are here and you can find the team and table next to registration. Come chat with...
 11  4mo   Multi-image      32     0     2  Still herding invoices manually? What if your AP process could herd itself? Join...
 12  2mo   Video            39     2     1  Excited to introduce our latest Dooap Unleashed: Run With Us - Eftsure! Scott...
 13  3mo   Video            17     0     6  This is what agentic AP automation looks like. Dooap Studio gives AP teams the power...
 14  1mo   Image             6     1     1  Everyone is talking about AI in finance. Very few are talking about what's actually...
 15  5mo   Multi-image      16     0     3  Join us at the Dynamic Communities Summit NA Roadshow in Vancouver. Built...
 16  3mo   Video            21     3     1  The biggest problem in finance isn't the system. It's that nobody trusts it. That's...
 17  3mo   Video            66     4     0  Sam Bush live here in Helsinki. The Dooap team is gearing up for DynamicsMinds next...
 18  3mo   Video            46     6     8  Run AP with AI agents. Not manual work. Today we're launching Dooap Studio - Agentic...
 19  4mo   Video            15     2     2  Welcome to Dooap Unleashed. A video series coming to your LinkedIn life all about...
 20  4mo   Video            40    15     1  What message would you send to the future? We took DynamicsMinds' "Message to the...
 21  7mo   Carousel         10     1     2  AI is no longer "coming" to AP. It's redefining how finance teams lead, work, and...
 22  2mo   Link/Article     11     0     3  Every AP Manager knows this feeling: you spot the fix, but IT has a three-week...
 23  1mo   Video            19     0     0  Looking forward to sharing more about Dooap Studio this week at AI Business Solutions...
 24  1mo   Image            18     1     0  Five years in, and she still says it feels new every day. In this episode of Dooap...
 25  1mo   Image            30     4     1  Who is attending Dynamic Communities's AI Business Solutions Partner Executive...
 26  1mo   Image            19     1     4  Every D365 vendor is racing to say "agentic" right now. Most are still figuring out...
 27  8mo   Video            10     0     2  Invoice approvals shouldn't be a treasure hunt. With Dooap, your workflows adapt to...
 28  3mo   Link/Article     15     0     0  Transform your AP process with automation built for Dynamics 365 Finance. Capture...
 29  3mo   Link/Article     10     0     1  What does AI literacy actually look like for a Dynamics 365 Finance team in 2026?...
 30  8mo   Video            13     0     1  PO matching is one of those tasks you can't ignore, but you definitely don't want to...
 31  9mo   Video            16     0     1  Great AP automation happens before you even know it. Dooap handles it quietly in the...
 32  2mo   Image            25     0     3  Last time we said "something new is coming," we introduced Dooap Studio - agentic AP...
 33  11mo  Video             9     1     3  If you ask us what one word we'd like to hear to describe Dooap - it's "easy". Great...
 34  5mo   Link/Article     10     1     3  Approving invoices shouldn't keep you tied to your desk. With the Dooap AP...
 35  9mo   Image             6     0     0  Thank you, Ellipse Solutions, for the highlight. We're proud of our collaboration,...
 36  2mo   Image            18     0     2  Somewhere right now, an AP manager is refreshing their inbox hoping an approval...
 37  3mo   Video             9     1     0  Great conversations. Great community.
 38  2mo   Image            16     0     1  The Dynamics community is coming to Toronto - and so are we. Dynamics User Group...
 39  3mo   Video             9     0     2  Love spending time with our partners all year around. At Dynamics User Group (DUG)...
 40  11mo  Image             4     0     0  Thanks again Dynamic Communities for the opportunity to showcase our #APautomation...
 41  3mo   Image            28     2     3  Set up and ready for "Herd your AP with AI Agents", in Sunset on level 11. Come join...
 42  3mo   Image            30     0     1  We're heading to #DynamicsMinds2026 and looking forward to being back with the...
 43  10mo  Link/Article      9     0     2  Considering AP Automation for D365 Finance or BC? Maybe you did not have a chance to...
 44  11mo  Link/Article     11     0     2  AI is inevitably transforming Accounts Payable. Read how our Chief Product Officer...
 45  11mo  Link/Article      0     0     0  We're on a tasty streak! Check out our new customers from the food and beverage...
 46  4mo   Image            21     6     2  The AP world is about to change. 5 days. #AccountsPayable #D365Finance Microsoft
 47  5mo   Image            20     1     4  Something new is coming. Stay tuned. #dooapunleashed
 48  8mo   Carousel          4     0     0  Our #APautomation solution is designed for Microsoft #D365FO, and a widespread and...
 49  6mo   Image            49     3     0  We are here and ready to talk about AI and AP for Dynamics 365 Finance in Tampa for...
 50  6mo   Image            14     3     2  AI is changing Accounts Payable. But control still matters. At the Dynamic...

--------------------------------------------------------------------------------------------------------------
YAVRIO
https://www.linkedin.com/company/yavrio/
Posts captured: 50   |   Total reactions: 3073   Comments: 315   Reposts: 65   |   Avg engagement/post: 69.1
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  6d    Multi-image      65     7     1  A massive thank you to everyone in the ERP + Fintech community who made the Yavrio...
  2  1w    Image            48     2     0  Meet James Pike, one of our Partner Success Managers at Yavrio! James sits where the...
  3  1d    Video            12     0     2  An embedded payments system means more than operational efficiency. It means your...
  4  1w    Image            29     0     0  The Yavrio team is already counting down the days till Directions for Enterprise...
  5  2w    Image            28     4     0  Our team just touched down in Ohio and we can't wait to meet with our partners and...
  6  3w    Multi-image      84    11     1  What a day. The whole UK team got together in Paddington to celebrate the launch...
  7  2w    Image            32     2     1  This week we've been celebrating the return of Samantha Felling to our USA partner...
  8  3w    Image            33     2     2  More than 5 billion Direct Debit payments run through the UK's Bacs network every...
  9  3w    Video            35     2     2  What does success actually look like when banking is fully integrated into the ERP?...
 10  3w    Image            21     2     0  Yavrio x Wenalyze. We're building smarter fraud prevention into Yavrio - helping...
 11  1mo   Multi-image      72     7     3  A brilliant afternoon at Fortnum & Mason, bringing together senior retail leaders...
 12  1mo   Carousel         13     1     2  8-10 days. That's the average close when statements are still pulled manually. 3...
 13  2mo   Multi-image      49    11     2  Cards on the Table. The launch of Yavrio Cards called for a proper celebration,...
 14  2mo   Text              9     0     0  We are live now with Western Computer for our joint session on banking in Microsoft...
 15  2mo   Carousel         15     0     1  For finance teams still importing bank statements by CSV into Microsoft Dynamics 365...
 16  3mo   Multi-image     110     9     0  What a 2026 Yavrio is having so far! It's hard to believe we're nearly halfway...
 17  3mo   Multi-image     108     5     0  DynamicsMinds 2026 is done and what a week it's been. Over the last few days,...
 18  3mo   Multi-image      82     4     0  Day one of DynamicsMinds wrapped and what a start its been. Our team, Margaret...
 19  3mo   Multi-image      55     2     0  DynamicsCon 2026 wrapped and what a few days it was! A hot week in Vegas as sponsors...
 20  3mo   Multi-image      68     1     1  We're excited to have our feet on the ground at Directions ASIA 2026 in Vietnam!...
 21  3mo   Multi-image      65     2     0  Another amazing event. Yavrio had an incredible time at this year's Node4...
 22  4mo   Multi-image      64     7     0  "That's a wrap on Directions North America 2026". It's been a great few days in...
 23  4mo   Multi-image      86     2     0  A full day in for the Yavrio team and it's already been a strong start at Directions...
 24  1mo   Image            64     8     0  Meet Phillip Dawson, our VP Sales & Partnerships! Phil has been at the heart of...
 25  1mo   Image            40     5     0  Microsoft's Tier 1 ERP now has modern bank connectivity, embedded payments and...
 26  2mo   Video            27     0     1  Still moving bank data into your finance system one CSV at a time? It may be time...
 27  4mo   Multi-image      23     0     0  We're live at Directions Spanish BC Day and what a fantastic day it's been so...
 28  1mo   Image           105    26     6  Four years ago, we launched Yavrio Banking and set out on a mission to create a way...
 29  4mo   Multi-image      28     1     2  Great to be part of HSO's Customer Day! We had a fantastic day last month...
 30  5mo   Multi-image      66     3     0  Yavrio Out and About - This Week! It's been a whirlwind week for the Yavrio...
 31  3mo   Image            99    10     1  Hello from a roasting Las Vegas. I'm at #DynamicsCon2026 this week where we've...
 32  3mo   Video            48     5     0  Finance teams BEFORE vs AFTER Yavrio. Before Yavrio: manual bank files,...
 33  6mo   Video            25     3     2  Bank connectivity and payments are becoming a bigger part of the Business Central...
 34  5mo   Multi-image      55     3     1  It was great to attend the Dynamics 365 & Power Platform User Group National event...
 35  6mo   Multi-image      50     4     0  The pace of technological change in financial services isn't slowing, and leadership...
 36  6mo   Multi-image      66     0     0  This week some of our team were lucky enough to attend the Microsoft #AITourLondon...
 37  6mo   Multi-image     179    34     3  After a few not-so-subtle hints, it's time to make it official... We've moved...
 38  6mo   Multi-image      97    30     3  We're upgrading our London HQ! The same Yavrio energy, but now with much more room...
 39  1mo   Image            49     8     5  This summer we're opening up our London Paddington office for the first ever Yavrio...
 40  1mo   Image            49     9     1  We're excited to welcome Samuel Price as a Sales Consultant as we continue expanding...
 41  8mo   Multi-image      72     8     0  Reflecting on our company off site to wrap up the year, the Yavrio crew got together...
 42  1mo   Image            32     3     0  We're excited to be hosting an exclusive roundtable with Microsoft and iLink...
 43  6mo   Video           145    25     9  Big milestone for Yavrio! Today we're launching Yavrio Cards: A cards payment...
 44  9mo   Multi-image      80     9     0  We were delighted to welcome Tim Chong, Co-founder and CEO of Yonder, join us at our...
 45  6mo   Video            56     6     1  This week at Yavrio! Partner events, customers catch ups, brainstorming and some big...
 46  6mo   Image           131     9     5  Today, we're launching Yavrio Cards: A cards payment solution fully embedded inside...
 47  6mo   Image            11     0     5  Yavrio - Open Banking is the multi award-winning banking integration for Microsoft...
 48  9mo   Multi-image      74    12     1  Reflecting on an incredible week in Poland. We're still buzzing from Directions EMEA...
 49  10mo  Multi-image      43     6     1  Day 2 at Community Summit 2025 is underway! Over 5,000 attendees have gathered...
 50  1mo   Image           176     5     0  Meet our Head of UK Sales, Charlotte Huang! Charlotte has led our UK sales team...

--------------------------------------------------------------------------------------------------------------
INCEDO INC
https://www.linkedin.com/company/incedo-inc/
Posts captured: 50   |   Total reactions: 4679   Comments: 128   Reposts: 103   |   Avg engagement/post: 98.2
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  20h   Image            57     0     2  What will remain uniquely human in the age of...
  2  2d    Image            41     1     1  We are building the future of software development—together with AWS. At Incedo, we...
  3  5d    Image            60     1     4  A conversation worth tuning in for! What does it...
  4  6d    Image            23     0     0  Incedo Navigator helps enterprises transform the economics of operations with...
  5  1w    Image            14     0     0  Reporting answers to an important question: what changed? But decision-making...
  6  1w    Image            20     0     1  Patient-centric pharma has reached an...
  7  2w    Carousel         17     0     0  The metric is not the decision. The value appears when a team can move from KPI...
  8  2w    Carousel         20     0     0  Deploying AI agents is one thing. Transforming an operation is another. Incedo...
  9  1w    Image            95     0     0  What does it take to lead through constant change? In a recent conversation with...
 10  3w    Carousel         21     0     0  A dashboard can make a metric visible. The harder job is to explain what is driving...
 11  3w    Carousel         14     0     1  Complex operations need more than disconnected AI tools. They need coordinated...
 12  3w    Carousel         12     2     0  Your AI strategy is only as strong as your data foundation. Many organizations have...
 13  4w    Carousel         22     1     0  Most AI tools can answer questions. But enterprise decisions need more than answers....
 14  2w    Image            93     1     2  Proud to be part of the 2026 Inc. 5000. Incedo has been...
 15  2w    Image            12     1     0  Can performance testing keep pace with the complexity of modern network devices? As...
 16  2w    Video            73     1     2  AI isn't magic. It's an interaction. At ONNJ, Nitin Seth, Co-Founder and CEO, Incedo...
 17  3w    Image            96     1     2  At Incedo, we believe India's next chapter will be shaped by bold ideas, human...
 18  1mo   Carousel         13     0     1  One of the biggest barriers to scaling enterprise AI isn't the capability of the...
 19  3w    Image           108     2     2  Cyber risk is moving at machine speed. Banking defense must catch up. "This is...
 20  1mo   Carousel         27     0     0  In Life Sciences, timing matters. The earlier teams can detect patient drop-offs,...
 21  1mo   Image           569    31     8  One year ago, Human Edge in the AI Age was...
 22  1mo   Carousel         53     0     1  Welcoming our newest colleagues! As AI becomes...
 23  1mo   Carousel         40     0     2  Incedo BrainSpark is our enterprise AI platform built to help organizations achieve...
 24  2mo   Carousel         35     2     4  Your AI strategy is only as strong as the data it runs on. Most enterprises have the...
 25  2mo   Carousel         18     0     0  Your business is sending signals every day — shifts in revenue, risk, and customer...
 26  2mo   Carousel         28     0     5  What separates a 100X Executive from the rest? Not more dashboards. Not more...
 27  2mo   Multi-image     278     6     6  Energy, purpose, and a bold vision for the...
 28  2mo   Carousel         23     0     0  Your AI strategy is only as strong as your data foundation. Many organizations have...
 29  1mo   Video            61     2     1  AI is becoming more capable every day. But as it grows more powerful, one truth is...
 30  1mo   Image          1147    56     5  We are drowning in data, yet starving for insight. That is the paradox at the center...
 31  2mo   Carousel         19     0     1  For Telecom leaders, revenue leakage rarely starts as a major problem. It starts as...
 32  2mo   Carousel         23     0     0  Most data modernization programs succeed at moving data. Far fewer succeed at...
 33  3mo   Carousel         57     0     0  Welcome to Incedo! We're delighted to welcome the newest members of...
 34  3mo   Carousel         27     0     3  Most enterprise platforms stop at insight. They show you what happened. Maybe why....
 35  3mo   Carousel         37     0     1  Disconnected workflows are the real problem in AI-powered development. While...
 36  1mo   Video            31     2     0  AI is only as powerful as the data that powers it. Yet, many enterprises are still...
 37  3mo   Carousel         42     0     3  One of the biggest challenges enterprises are facing today is to operationalize...
 38  1mo   Video            83     1     2  What is the role of humans in an AI-first...
 39  3mo   Text            263     9     6  Today, we're excited to launch the inaugural edition of The AI Edge—a new monthly...
 40  4mo   Carousel         53     0     6  As Canadian enterprises accelerate their AI journey, the conversation is shifting...
 41  2mo   Video            22     0     2  Your AI is only as good as the data behind it....
 42  2mo   Video            73     1     3  The conversations may have concluded, but the ideas continue to inspire. Watch the...
 43  4mo   Carousel         30     0     2  What if data modernization didn't have to be complex, slow, or risky? Enter Incedo...
 44  1mo   Image            30     0     0  Data Modernization should not break what already works. With Incedo DataXel,...
 45  2mo   Video            25     0     0  Enterprises did not need faster coding alone....
 46  4mo   Multi-image     652     7    17  An AI-Native ecosystem where Creativity, Collaboration, Connection and Culture can...
 47  4mo   Carousel         27     0     1  When a Fortune 500 bank's collections performance began to slip, better reporting...
 48  2mo   Video            25     0     2  The most expensive resource in your organization isn't compute. It isn't capital....
 49  2mo   Video            53     0     4  In a recent interview on ONNJ's (On New Jersey) Mornings with Ken Rosato, our...
 50  2mo   Video            17     0     0  The highest-performing leaders don't wait for reports. They operate with clarity...

--------------------------------------------------------------------------------------------------------------
RILLION
https://www.linkedin.com/company/rillion/
Posts captured: 50   |   Total reactions: 1300   Comments: 138   Reposts: 95   |   Avg engagement/post: 30.7
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  3h    Image             6     0     0  Our CFO to CFO newsletter is live! This is a new initiative from our CFO, Johan...
  2  5d    Image           105    14     2  One picture. Seven people. 150+ years of Rillion experience. That's a lot of...
  3  6d    Carousel         14     3     2  The numbers we didn't show you. We asked 250 U.S. finance leaders how AI is actually...
  4  1w    Image            10     0     0  Some things belong in a museum. Manual invoice entry is one of them. Copying invoice...
  5  2d    Video            23     1     0  Turns out our Product team is fast in more ways than one. Last week, Team...
  6  1w    Link/Article    132     7     5  I recently had the opportunity to share my perspective on AI in finance for...
  7  1w    Multi-image      13     1     0  Did you know that most finance leaders expect AI to significantly change the finance...
  8  1w    Image            14     1     0  Don't miss the LinkedIn Live we're hosting today. AI adoption in finance is moving...
  9  1w    Image            26     2     2  68% of finance teams use AI every day. 39% of CFOs trust it to act on its own....
 10  1w    Image            27     6     1  Launch day. We just published the US edition of Rillion's 2026 AI in Finance...
 11  3w    Carousel         19     2    10  250 US finance leaders told us how they're using AI. And the numbers don't tell the...
 12  2w    Image            14     0     2  250 U.S. CFOs told us what they really think about AI. Now we're bringing the debate...
 13  2w    Video            12     2     0  2029. How many tasks in finance will still be done by humans? Finance leaders expect...
 14  2w    Video            30     3     5  Dry run mode: ON. The studio is getting ready. The slides are getting their final...
 15  3w    Image            24     3     7  The Finance AI Illusion... What is it? And is your finance team caught in it? We are...
 16  2w    Video            24     3     3  Is there a gap between how ready finance leaders think they are for AI and what the...
 17  3w    Video            35     4     7  Another G2 badge drop we're extremely proud to be part of. As always, a huge shoutout...
 18  3w    Image            14     3     4  Have you seen the latest OnlyCFO newsletter? We have and we're excited to see...
 19  4w    Video            21     0     2  "I love my Excel sheets." Sean Milmoe, CFO & Co-Founder at 360 Energy, isn't alone -...
 20  1mo   Poll              6     0     3  If AI is already part of your team's daily workflow... this poll probably isn't for...
 21  1mo   Carousel          8     0     1  AP teams, here's your mid-vacation reminder. (If you're checking your inbox from...
 22  1mo   Text             13     2     0  Many finance leaders worry AI will make mistakes they can't track. Rasmus Areskoug,...
 23  1mo   Text              6     0     0  Denmark leads AI adoption in the Nordics. Sweden lags behind. But Olli Saksa, CFO at...
 24  1mo   Text              8     3     1  80% of finance leaders use AI daily, but only 1 in 5 trust it for strategic...
 25  1mo   Carousel         15     1     3  OCR vs AI invoice capture: what's the actual difference for AP automation? If your...
 26  1mo   Text             36     1     2  72% of finance teams still struggle with manual corrections despite investing in AI....
 27  2mo   Multi-image      19     0     0  If you'd told us our favourite team events would be the ones you can track on...
 28  2mo   Text              8     0     0  48% of finance leaders say they want to be strategic advisors. So why do investments...
 29  2mo   Carousel         10     0     0  If you're not optimizing your vacation as much as your AP processes... we need to...
 30  4w    Video            16     1     1  Finance teams aren't slow to adopt AI, we just doesn't have the luxury of...
 31  2mo   Text             58     8     0  While most finance leaders are still figuring out where AI fits, Peter Egehoved, CFO...
 32  1mo   Image            45     3     4  What's possible today wasn't possible 6 months ago. For finance leaders to succeed...
 33  1mo   Video            11     0     2  The ERP you choose today can either accelerate your next 10 years... or slow them...
 34  2mo   Text             12     1     0  While everyone's drowning in opinions on where AI belongs in finance, Monika Pers,...
 35  1mo   Video            12     1     1  If your finance team only talks to finance, you're leaving value on the table. The...
 36  2mo   Carousel          9     0     0  We asked 250 CFOs across the Nordics about AI in finance. Then put our own CFO Johan...
 37  2mo   Text              7     0     0  The Nordic AI Finance Report had zero shortage of "mic-drop" quotes but this one...
 38  1mo   Video             8     1     0  Nail your ERP and CRM and you're 90% there - that used to be the rule for finance...
 39  2mo   Text             18     1     1  26% of CFOs say lack of AI competence is the single biggest barrier to broader...
 40  3mo   Multi-image      35     3     1  Our marketing team swapped their laptops for race bibs yesterday - running...
 41  3mo   Multi-image      40     4     0  Rillion AI Day - LFG. On Monday, we put work aside and got our team together for a...
 42  1mo   Video            14     2     1  What's the best place to start with AI in finance? The small yes/no decisions you're...
 43  3mo   Carousel         19     8     3  250 CFOs across Sweden, Denmark and Finland told us where AI in finance *actually*...
 44  2mo   Text             33    22     4  [searching...] I'm on the hunt for a US native CFO or financial executive based...
 45  2mo   Video            31     3     5  AI transformation in finance is more about getting your people onboard than it is...
 46  3mo   Carousel         22     1     1  If you think AI will eliminate entry-level roles in finance, here's a fresh take on...
 47  2mo   Video            23     2     2  Rillion + Stratas: taking AP automation in the UK to the next level. We're...
 48  2mo   Image            52     8     1  Just got back from two of the most energizing days I've had in a long time!...
 49  4mo   Carousel         23     2     5  Sage Intacct users, this one's for you! Rillion now has a new integration with...
 50  3mo   Image           120     5     1  We made it into Dagens Industri today with the insights from our Nordic Finance AI...

--------------------------------------------------------------------------------------------------------------
SIGNUP SOFTWARE
https://www.linkedin.com/company/signup-software/
Posts captured: 50   |   Total reactions: 2301   Comments: 60   Reposts: 312   |   Avg engagement/post: 53.5
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  3w    Image            26     0     5  Manual payments cost more than money. Every file upload, spreadsheet update, and...
  2  3mo   Image            35     0    10  One week to go! If you haven't secured your spot for Truvio Partner Day Stockholm...
  3  5mo   Image            51     2    15  The difference isn't your ERP. It's what you can do with it. TruvioSense adds...
  4  7mo   Multi-image      38     2     0  Last month, Convergence AI+D365 2025 in #Miami brought together leaders, partners,...
  5  5mo   Image            61     1    28  Live Webinar | Close the ERP Intelligence Gap with TruvioSense. Your ERP already...
  6  5mo   Image            63     1    13  Get ready for our Truvio Partner Day in Stockholm! On May 21, we are excited to...
  7  10mo  Multi-image     141     4     2  Directions EMEA 2025 - what a week! The atmosphere in Poznan was incredible, and...
  8  10mo  Multi-image      39     1     1  What a great few days at #IOFM Fall 2025 in Las Vegas! It's always inspiring to...
  9  10mo  Multi-image      36     1     0  A big thank you to everyone who visited our booth at Ekonomi & Företag 2025 and...
 10  3mo   Multi-image     147     2     9  It's Partner Day in Sweden! We're live at Filmstaden Scandinavia in Stockholm...
 11  11mo  Multi-image      37     1     1  It's Day 2 at Ekonomi & Företag 2025 - and we're ready for more great conversations!...
 12  11mo  Multi-image      62     1     0  What a great day we've had at Accountex Summit Manchester 2025! We've really...
 13  7mo   Image            11     0     2  Join SignUp Software in the foyer at Dynamic Communities and Cloud Wars #aiacsummit...
 14  3mo   Multi-image      62     4     3  We're live at DYNAfair in Dortmund, Germany! The Truvio team is on the floor and...
 15  8mo   Image             5     0     4  New MSDW Podcast Episode! Check out our latest episode of...
 16  8mo   Image            48     5     4  Happy to share the winners of the 2025 MSDW Marketing Impact Awards! At MSDW, we...
 17  8mo   Image            66     1     2  Convergence 2025 in Miami brought together leaders, partners, and innovators at the...
 18  9mo   Image            51     0     4  New Office of the CFO Podcast Episode! Finance leaders are facing rapid change -...
 19  9mo   Image           124     8     3  This year's Microsoft Ignite is particularly special for us, and to me! After a week...
 20  4mo   Carousel         41     3    19  Your ERP already has the data. So why are teams still working manually to figure out...
 21  9mo   Link/Article     27    11     2  Tune in folks, this is next level--LOVE seeing the #microsoft AI partner ecosystem...
 22  10mo  Image            24     0     5  If you live in the world of the CFO and his teams, then you know you need to stay on...
 23  11mo  Video            33     3     4  Counting down - less than two weeks until Accountex...
 24  10mo  Link/Article     17     0     5  Live from #MySummitNA. It is day 2 here in Orlando, and we're just getting started...
 25  10mo  Image            12     0     2  Spotlight on SignUp Software - Driving AP/AR Automation! We're thrilled to have...
 26  11mo  Image            17     0     2  Spotlight on Our AP/AR Automation Category Sponsor: SignUp Software! We're...
 27  11mo  Image            30     0     2  We had a fantastic time at the Stoneridge Connect Leadership Summit in Minneapolis...
 28  11mo  Image            24     0     7  ISV in the Spotlight: SignUp Software GmbH - ExFlow AP. Join us on 7 October...
 29  11mo  Link/Article     19     0     6  AP "automation" that requires integration isn't automation; it's a bolt-on. Ready...
 30  1yr   Image             6     0     1  Now On-Demand at MSDW! Check out this new video on MSDW from...
 31  6mo   Video            70     0    13  In a new episode of the Office of the CFO Podcast, our CEO Joakim Alm and SVP North...
 32  7mo   Video            57     0    20  ERP systems provide a powerful foundation, but every business is different. Industry...
 33  7mo   Event             8     0     4  New on MSDW. Finance teams didn't sign up for a lifetime subscription to...
 34  8mo   Event            10     0     2  New on MSDW! Finance teams are moving from measuring cash flow to...
 35  9mo   Multi-image      90     2     2  Awesome energy at ANZ Partner Days today! Great catching up with familiar faces and...
 36  10mo  Event             7     0     4  Unveiling the 2025 Dynamics 365 AP...
 37  9mo   Multi-image      85     0     1  What a week at Directions EMEA 2025! From rocking glitter jackets at our booth and...
 38  10mo  Event             7     0     4  Unveiling the 2025 Dynamics 365 AP...
 39  11mo  Event             8     0     7  Upcoming MSDW Webinar! Finance teams running Dynamics 365...
 40  11mo  Event             8     0     7  Upcoming MSDW Webinar! Finance teams running Dynamics 365...
 41  7mo   Image           192     1    50  One Solution. One Partner. Truvio. Truvio is the new unified brand name for our...
 42  9mo   Image            20     0     2  Attending Convergence 2025 in Miami? Visit SignUp Software at Booth #206 to see how...
